id,average_polarity,sentiment_class
PG0001,-0.02264347826086957,mixed negative
PG0002,0.020437499999999997,mixed positive
PG0003,0.014662025316455697,mixed positive
PG0004,0.0462379679144385,mixed positive
PG0005,0.0398741935483871,mixed positive
PG0006,-0.024970000000000003,mixed negative
PG0007,0.07120517241379311,mixed positive
PG0008,-0.022451785714285716,mixed negative
PG0009,0.060157575757575764,mixed positive
PG0010,0.06328478260869565,mixed positive
PG0011,0.13600392156862745,mixed positive
PG0012,0.01715730337078652,mixed positive
PG0013,0.04388285714285714,mixed positive
PG0014,0.018205882352941176,mixed positive
PG0015,0.06215428571428572,mixed positive
PG0016,-0.010778378378378382,mixed negative
PG0017,-0.02176417910447761,mixed negative
PG0018,0.04043272727272727,mixed positive
PG0019,0.05590617283950618,mixed positive
PG0020,0.06303053435114503,mixed positive
PG0021,-0.012186792452830188,mixed negative
PG0022,0.07995227272727273,mixed positive
PG0023,0.06963355704697988,mixed positive
PG0024,0.03933543689320388,mixed positive
PG0025,0.10829116022099447,mixed positive
PG0026,0.05898409090909091,mixed positive
PG0027,-0.006392105263157895,mixed negative
PG0028,0.0420566265060241,mixed positive
PG0029,0.024307142857142857,mixed positive
PG0030,0.11008148148148147,mixed positive
PG0031,0.030355194805194805,mixed positive
PG0032,-0.013306382978723403,mixed negative
PG0033,0.1409945945945946,mixed positive
PG0034,0.03296421052631578,mixed positive
PG0035,0.10519750000000001,mixed positive
PG0036,0.018944,mixed positive
PG0037,0.0945710843373494,mixed positive
PG0038,0.14653939393939394,mixed positive
PG0039,0.07450270270270269,mixed positive
PG0040,-0.02476415094339622,mixed negative
PG0041,0.07156489361702127,mixed positive
PG0042,-0.01794955752212389,mixed negative
PG0043,0.05922745098039216,mixed positive
PG0044,-0.05132894736842105,mixed negative
PG0045,0.026635897435897435,mixed positive
PG0046,0.03692428571428571,mixed positive
PG0047,0.0844,mixed positive
PG0048,0.035665476190476185,mixed positive
PG0049,0.05057307692307692,mixed positive
PG0050,0.028463999999999996,mixed positive
PG0051,0.04798048780487805,mixed positive
PG0052,0.10199799999999999,mixed positive
PG0053,0.0773391304347826,mixed positive
PG0054,0.08593023255813954,mixed positive
PG0055,0.07634328358208956,mixed positive
PG0056,0.0033162162162162154,mixed positive
PG0057,0.06102727272727273,mixed positive
PG0058,0.03172347417840376,mixed positive
PG0059,0.017496610169491528,mixed positive
PG0060,0.06495600000000001,mixed positive
PG0061,0.03144907834101383,mixed positive
PG0062,-0.00019078947368420923,mixed negative
PG0063,0.03579038461538461,mixed positive
PG0064,0.03540857142857143,mixed positive
PG0065,0.050785128205128205,mixed positive
PG0066,0.01317589285714286,mixed positive
PG0067,0.09159448818897638,mixed positive
PG0068,0.07570476190476191,mixed positive
PG0069,0.026014606741573035,mixed positive
PG0070,0.14878750000000002,mixed positive
PG0071,0.01586271186440678,mixed positive
PG0072,0.017092500000000004,mixed positive
PG0073,0.057736363636363634,mixed positive
PG0074,0.07212333333333333,mixed positive
PG0075,0.04205909090909091,mixed positive
PG0076,0.064875,mixed positive
PG0077,0.09128260869565218,mixed positive
PG0078,0.016831818181818184,mixed positive
PG0079,0.039093103448275865,mixed positive
PG0080,-0.0024044444444444413,mixed negative
PG0081,0.16446923076923078,mixed positive
PG0082,0.04704915254237288,mixed positive
PG0083,0.10024423076923077,mixed positive
PG0084,-0.0010886486486486476,mixed negative
PG0085,0.0883556701030928,mixed positive
PG0086,0.02085,mixed positive
PG0087,0.10794285714285715,mixed positive
PG0088,0.07549054054054055,mixed positive
PG0089,0.027950485436893203,mixed positive
PG0090,0.0367875,mixed positive
PG0091,0.1387,mixed positive
PG0092,0.06256111111111111,mixed positive
PG0093,0.0017045751633986922,mixed positive
PG0094,0.003982580645161292,mixed positive
PG0095,0.2591857142857143,mixed positive
PG0096,0.062805,mixed positive
PG0097,-0.019673170731707317,mixed negative
PG0098,0.16727435897435897,mixed positive
PG0099,0.1124503937007874,mixed positive
PG0100,0.08775526315789473,mixed positive
PG0101,0.07044367816091955,mixed positive
PG0102,-0.017666298342541433,mixed negative
PG0103,0.05893412698412699,mixed positive
PG0104,0.179140625,mixed positive
PG0105,0.09390526315789474,mixed positive
PG0106,0.06998909090909092,mixed positive
PG0107,0.009109375,mixed positive
PG0108,0.02634375,mixed positive
PG0109,0.016086274509803926,mixed positive
PG0110,0.010012499999999999,mixed positive
PG0111,0.16115609756097563,mixed positive
PG0112,0.009525000000000004,mixed positive
PG0113,0.031685333333333336,mixed positive
PG0114,0.007608510638297871,mixed positive
PG0115,0.04331240875912409,mixed positive
PG0116,0.10463009708737865,mixed positive
PG0117,0.06730277777777778,mixed positive
PG0118,0.09201764705882352,mixed positive
PG0119,0.13123773584905662,mixed positive
PG0120,0.06252201834862386,mixed positive
PG0121,0.10193939393939394,mixed positive
PG0122,0.10952432432432434,mixed positive
PG0123,0.06273076923076924,mixed positive
PG0124,0.00666929133858268,mixed positive
PG0125,0.07551616161616162,mixed positive
PG0126,-0.09889999999999999,mixed negative
PG0127,0.08180714285714286,mixed positive
PG0128,0.103375,mixed positive
PG0129,0.06760857142857142,mixed positive
PG0130,-0.002248979591836732,mixed negative
PG0131,0.015434782608695654,mixed positive
PG0132,-0.004279841897233201,mixed negative
PG0133,0.00397101449275363,mixed positive
PG0134,-0.03255585585585585,mixed negative
PG0135,-0.029370886075949367,mixed negative
PG0136,-0.04145266457680251,mixed negative
PG0137,-0.02016551724137931,mixed negative
PG0138,0.02592605042016807,mixed positive
PG0139,0.07122941176470589,mixed positive
